,Estandar,precio,precio,precio
,,min,median,mean
180,Samsung Note 20 Plus,220000,220000.0,220000.0
181,Samsung Note 20 Ultra,70000,300000.0,340000.0
182,Samsung S10,55000,170000.0,191696.0
183,Samsung S10 Lite,58000,129900.0,262633.0
184,Samsung S10 Plus,60000,180000.0,179030.0
185,Samsung S10E,70000,120000.0,127053.0
186,Samsung S20,90000,260000.0,268571.0
187,Samsung S20 Fe,55000,180000.0,216098.0
188,Samsung S20 Plus,70000,200000.0,290952.0
189,Samsung S20 Ultra,55000,300000.0,264000.0
190,Samsung S21,70000,270000.0,279904.0
191,Samsung S21 Fe,70000,300000.0,309324.0
192,Samsung S21 Plus,60000,285000.0,287261.0
193,Samsung S21 Ultra,60000,345000.0,320345.0
194,Samsung S22,55000,420000.0,379952.0
195,Samsung S22 Plus,75000,400000.0,394421.0
196,Samsung S22 Ultra,70000,620000.0,519694.0
197,Samsung S23,60000,350000.0,321000.0
198,Samsung S23 Plus,56000,599000.0,435000.0
199,Samsung S23 Ultra,60000,480000.0,556799.0
200,Samsung Z Flip,100000,280000.0,212000.0
201,Samsung Z Flip 3,65000,385000.0,375000.0
202,Samsung Z Flip 4,75000,550000.0,578863.0
203,Samsung Z Flip 5,320000,320000.0,320000.0
204,Samsung Z Fold,70000,70000.0,70000.0
205,Samsung Z Fold 3,110000,475000.0,462000.0
206,Samsung Z Fold 4,80000,724500.0,679250.0
207,Xiaomi Redmi 10,65000,130000.0,137778.0
208,Xiaomi Redmi 10 Pro,100000,125000.0,125000.0
209,Xiaomi Redmi 10A,60000,99500.0,117654.0
210,Xiaomi Redmi 10C,60000,115000.0,121538.0
211,Xiaomi Redmi 11T,70000,150000.0,172035.0
212,Xiaomi Redmi 11T Pro,57990,250000.0,296482.0
213,Xiaomi Redmi 12 Lite,70000,245000.0,219375.0
214,Xiaomi Redmi 12C,80000,130000.0,165789.0
215,Xiaomi Redmi 12T,300000,310000.0,310000.0
216,Xiaomi Redmi 12T Pro,90000,130000.0,292778.0
217,Xiaomi Redmi 9,55000,94995.0,121250.0
218,Xiaomi Redmi 9A,55000,115000.0,136250.0
219,Xiaomi Redmi 9C,60000,105000.0,134375.0
220,Xiaomi Redmi 9T,60000,100000.0,111923.0
221,Xiaomi Redmi A2,65000,65000.0,65000.0
222,Xiaomi Redmi Mi 10,200000,200000.0,200000.0
223,Xiaomi Redmi Mi 10 Lite,90000,90000.0,90000.0
224,Xiaomi Redmi Mi 10 Pro,160000,160000.0,160000.0
225,Xiaomi Redmi Mi 10T,60000,150000.0,169266.0
226,Xiaomi Redmi Mi 10T Lite,100000,145000.0,141667.0
227,Xiaomi Redmi Mi 10T Pro,69500,200000.0,188339.0
228,Xiaomi Redmi Mi 11,95000,140000.0,187500.0
229,Xiaomi Redmi Mi 11 Lite,60000,190000.0,198939.0
230,Xiaomi Redmi Mi 11 Pro,480000,480000.0,480000.0
