titulo,precio,fecha_publicacion,hora_publicacion,lugar_venta
Radio Motorola,80000,23-06-2023,10:55:00,"Maipú, Región Metropolitana"
Motorola e22i,110000,23-06-2023,07:37:24,"Cerro Navia, Región Metropolitana"
Motorola g13,280000,22-06-2023,22:27:23,"La Reina, Región Metropolitana"
Motorola moto gamepad,60000,21-06-2023,23:51:02,"Santiago, Región Metropolitana"
Radio Motorola DEP 550e VHF,150000,21-06-2023,20:58:06,"San José de Maipo, Región Metropolitana"
Celular motorola E7i,34900,21-06-2023,17:37:32,"La Pintana, Región Metropolitana"
Motorola Edge 20 Lite,34500,21-06-2023,16:50:57,"San Miguel, Región Metropolitana"
Pantalla Motorola Moto G8 Power Lite,16990,20-06-2023,12:05:11,"Macul, Región Metropolitana"
Pantalla Motorola Moto G8 Power,7920,20-06-2023,11:56:30,"Macul, Región Metropolitana"
Flex De Carga Motorola Moto G8 Power Lite,120000,20-06-2023,11:48:26,"Providencia, Región Metropolitana"
Flex De Carga G9 Power Compatible Con Motorola Mot,90000,20-06-2023,11:47:55,"Providencia, Región Metropolitana"
Celular Motorola Motog8 Plus,3200,20-06-2023,10:11:40,"Pudahuel, Región Metropolitana"
Celular Motorola g20,70000,19-06-2023,15:40:04,"Macul, Región Metropolitana"
Cable Motorola Usb-v8 De Carga Rápida,350000,18-06-2023,17:07:54,"San Miguel, Región Metropolitana"
Celular nuevo Motorola g13,370000,17-06-2023,14:28:01,"Santiago, Región Metropolitana"
Dgp5050 vhf Motorola Digital y análogo,200000,16-06-2023,15:00:51,"Maipú, Región Metropolitana"
Dgp5050e digital vhf Motorola,45000,16-06-2023,14:42:43,"Maipú, Región Metropolitana"
Celular Motorola G53 5g.128gb,350000,16-06-2023,00:44:54,"Estación Central, Región Metropolitana"
Motorola g8 play 32gb negro,350000,15-06-2023,15:29:14,"San José de Maipo, Región Metropolitana"
Dgp8050 Motorola vhf Digital y Análogo,350000,15-06-2023,13:45:37,"Maipú, Región Metropolitana"
Dgp8050 motoola vhf digital y análogo,200000,15-06-2023,13:39:01,"Maipú, Región Metropolitana"
Dgp8050 Motorola mototrbo vhf,130000,15-06-2023,13:36:50,"Maipú, Región Metropolitana"
Motorola G53 5g,330000,14-06-2023,01:20:18,"Quinta Normal, Región Metropolitana"
Cable remoto Motorola Mototrbo,330000,13-06-2023,15:37:49,"Maipú, Región Metropolitana"
Multicargador Motorola para Xts2250,330000,13-06-2023,14:43:02,"Maipú, Región Metropolitana"
Multicargador para línea Xts2250 Motorola,70000,13-06-2023,14:39:25,"Maipú, Región Metropolitana"
Multicargador Motorola para Xts2250,75000,13-06-2023,14:21:58,"Maipú, Región Metropolitana"
Motorola G20 ,115000,12-06-2023,16:37:45,"Lo Espejo, Región Metropolitana"
Motorola G9 power,7900,11-06-2023,22:16:13,"Cerro Navia, Región Metropolitana"
Smartphone celular Motorola G51 128gb 5G,25900,11-06-2023,12:36:22,"Pudahuel, Región Metropolitana"
Flex Main Motorola Moto G9 Power,90000,10-06-2023,11:35:41,"Providencia, Región Metropolitana"
Pantalla Motorola Moto G9 Power,260000,10-06-2023,11:05:46,"Providencia, Región Metropolitana"
Radio motorola XPR 3300e,80000,09-06-2023,22:05:58,"Santiago, Región Metropolitana"
Motorola e4 plus,100000,09-06-2023,19:51:14,"Lo Prado, Región Metropolitana"
Celular totalmente nuevo sellado Motorola,100000,09-06-2023,17:33:29,"San Bernardo, Región Metropolitana"
Dep450 Motorola digital y análogo vhf,100000,09-06-2023,11:36:27,"Maipú, Región Metropolitana"
Celular Xiaomi note8 y motorola g8 power lite,120000,08-06-2023,20:35:06,"San Joaquín, Región Metropolitana"
Motorola Modelo MotoG30 excelente estado poco uso,100000,08-06-2023,08:46:39,"Independencia, Región Metropolitana"
G 9 motorola ,80000,05-06-2023,22:13:04,"Estación Central, Región Metropolitana"
Motorola g100 5g perfecto estado,160000,05-06-2023,17:11:09,"Santiago, Región Metropolitana"
Motorola g53,180000,05-06-2023,14:53:34,"Providencia, Región Metropolitana"
Dem400 Motorola digital vhf,400000,05-06-2023,14:06:08,"Maipú, Región Metropolitana"
Celular Motorola,70000,05-06-2023,13:02:53,"Macul, Región Metropolitana"
Audífonos In-ear Inalámbricos Motorola Vervebuds 1,25000,05-06-2023,09:00:15,"La Florida, Región Metropolitana"
Celular Motorola Moto Z3 play + parlante jbl,100000,03-06-2023,15:10:56,"Maipú, Región Metropolitana"
Motorola ,220000,31-05-2023,18:42:15,"Buin, Región Metropolitana"
Motorola one macro,30000,31-05-2023,14:40:04,"Santiago, Región Metropolitana"
Celular motorola impecable,35000,28-05-2023,23:49:37,"Macul, Región Metropolitana"
Motorola Moto E 6S,40000,28-05-2023,21:10:13,"Puente Alto, Región Metropolitana"
Motorola E7,60000,28-05-2023,00:35:36,"La Reina, Región Metropolitana"
Celular Motorola G20 usado en buen estado ,180000,27-05-2023,10:08:11,"San Bernardo, Región Metropolitana"
Celular Motorola modelo G100,130000,27-05-2023,02:32:09,"Melipilla, Región Metropolitana"
Motorola edge 20 lite,80000,25-05-2023,13:13:50,"Santiago, Región Metropolitana"
Motorola motoe32,5500,24-05-2023,17:32:02,"Ñuñoa, Región Metropolitana"
Parlante Auricular Motorola Moto G7 Power,11990,24-05-2023,13:20:08,"Providencia, Región Metropolitana"
Lente Camara Trasera Motorola G5s Plus + Kit De De,110000,24-05-2023,13:14:46,"Providencia, Región Metropolitana"
Motorola g30,35000,24-05-2023,12:42:26,"Peñalolén, Región Metropolitana"
Teléfono motorola e3 play,110000,24-05-2023,09:10:14,"El Bosque, Región Metropolitana"
Celular Motorola G53 5G,120000,23-05-2023,14:50:23,"Puente Alto, Región Metropolitana"
Motorola g51 5g,200000,23-05-2023,11:21:36,"Puente Alto, Región Metropolitana"
Motorola Edge 30 neo,290000,22-05-2023,18:27:23,"Santiago, Región Metropolitana"
Pro 7100 Motorola Uhf,210000,22-05-2023,14:16:28,"Maipú, Región Metropolitana"
Pro 7100 Motorola uhf,110000,22-05-2023,11:51:08,"Maipú, Región Metropolitana"
Motorola g50 liberado,130000,21-05-2023,21:41:44,"Puente Alto, Región Metropolitana"
Celular Motorola g13,80000,20-05-2023,10:19:49,"La Florida, Región Metropolitana"
Reloj Motorola 360,78000,18-05-2023,21:51:10,"San Miguel, Región Metropolitana"
Smartphone Motorola play G9,630000,18-05-2023,00:45:32,"La Cisterna, Región Metropolitana"
Dgm5550 Motorola,610000,17-05-2023,14:40:56,"Maipú, Región Metropolitana"
Xts2500i M3 Motorola,750000,17-05-2023,14:35:49,"Maipú, Región Metropolitana"
Dgm8500e Motorola vhf,950000,17-05-2023,13:19:16,"Maipú, Región Metropolitana"
Apx2000 M3 Motorola,220000,16-05-2023,14:27:56,"Maipú, Región Metropolitana"
Pro5100 Motorola vhf,75000,16-05-2023,14:13:42,"Maipú, Región Metropolitana"
Celular Motorola ONE ACTION + cargador HUAWEI,190000,15-05-2023,14:42:53,"Pedro Aguirre Cerda, Región Metropolitana"
Pro 7150 vhf Motorola,140000,15-05-2023,14:10:37,"Maipú, Región Metropolitana"
Pro 5150 Motorola vhf 16 canales,360000,15-05-2023,13:32:50,"Maipú, Región Metropolitana"
Dgp5050 Motorola mototrbo vhf,160000,15-05-2023,13:28:51,"Maipú, Región Metropolitana"
Ep450 Motorola vhf,110000,15-05-2023,13:27:11,"Maipú, Región Metropolitana"
Celular motorola g13,850000,15-05-2023,13:10:17,"San Miguel, Región Metropolitana"
