titulo,precio,fecha_publicacion,hora_publicacion,lugar_venta
Huawei Mate 40 pro,340000,07-07-2023,15:48:03,"La Florida, Región Metropolitana"
Huawei Mate 20 Pro Usado,230000,07-07-2023,15:42:08,"Providencia, Región Metropolitana"
Huawei p10,45000,07-07-2023,15:38:15,"Macul, Región Metropolitana"
Huawei P40 como nuevo,250000,07-07-2023,09:57:19,"Ñuñoa, Región Metropolitana"
Huawei y9s,99990,06-07-2023,17:06:50,"Quinta Normal, Región Metropolitana"
Smart Band 7 Huawei,50000,05-07-2023,19:17:22,"Las Condes, Región Metropolitana"
Smartphone Huawei Nova 5T 128GB,280000,05-07-2023,12:12:57,"La Cisterna, Región Metropolitana"
Huawei Watch Fit Elegant casi nuevo,80000,04-07-2023,18:27:08,"Lo Barnechea, Región Metropolitana"
Huawei nova 5t,80000,04-07-2023,15:48:59,"Maipú, Región Metropolitana"
Reloj Inteligente Marca Huawei Modelo Watch gt 2,80000,03-07-2023,19:11:20,"Maipú, Región Metropolitana"
Huawei y7,40000,03-07-2023,17:58:44,"Las Condes, Región Metropolitana"
"Huawei Mate 20 lite liberado, muy buen estado",65000,03-07-2023,13:22:34,"Santiago, Región Metropolitana"
Celular Huawei Y9 Prime. Liberado. Cualquier Cía,100000,01-07-2023,16:45:26,"La Reina, Región Metropolitana"
"Huawei Watch GT2 Pro, Grey Titanium sin detalles",85000,01-07-2023,12:54:37,"La Cisterna, Región Metropolitana"
Teléfono Huawei P30lite,130000,01-07-2023,11:15:14,"Santiago, Región Metropolitana"
Huawei Y6,45000,30-06-2023,22:49:30,"Maipú, Región Metropolitana"
Huawei Nova Y60 NUEVO sin uso,85000,30-06-2023,09:05:14,"Ñuñoa, Región Metropolitana"
Huawei p30 lite 128gb,60000,29-06-2023,20:27:47,"Santiago, Región Metropolitana"
 Celular Huawei P20 Lite,45000,29-06-2023,18:21:52,"Santiago, Región Metropolitana"
Reloj inteligente smart watch fit huawei,62000,28-06-2023,05:30:46,"Peñaflor, Región Metropolitana"
"Reloj HUAWEI Watch Fit 1.64""",40000,27-06-2023,18:18:02,"Las Condes, Región Metropolitana"
Celular HUAWEI P40 Pro dualsim,290000,27-06-2023,04:49:05,"Cerro Navia, Región Metropolitana"
Huawei P Smart 2019,50000,26-06-2023,12:56:39,"Quinta Normal, Región Metropolitana"
Celular Huawei Y6 II,50000,25-06-2023,15:21:50,"San Miguel, Región Metropolitana"
Huawei p40 pro 5g,300000,25-06-2023,13:43:59,"Puente Alto, Región Metropolitana"
Huawei P40 lite liberado,65000,24-06-2023,14:37:27,"Santiago, Región Metropolitana"
Celular Huawei P30 128 GB y 8GB RAM como nuevo,140000,24-06-2023,13:26:25,"Providencia, Región Metropolitana"
Celular Huawei,50000,23-06-2023,15:00:52,"La Florida, Región Metropolitana"
Antena Rural Huawei ,80000,22-06-2023,23:20:58,"San Miguel, Región Metropolitana"
Huawei nova 9,285000,22-06-2023,23:16:24,"El Bosque, Región Metropolitana"
