titulo,precio,fecha_publicacion,hora_publicacion,lugar_venta
Xiaomi Redmi Note 5 Dualsim 64/4gb Fotos reales,210000,01-08-2023,22:56:08,"Santiago, Región Metropolitana"
Xiaomi mi10t pro 5g permuto,210000,01-08-2023,22:35:09,"San Miguel, Región Metropolitana"
XIAOMI Redmi Note 12S - 3 unidades,250000,01-08-2023,11:54:54,"Providencia, Región Metropolitana"
Xiaomi POCO X4 Pro 5G 128GB Laser Black,25000,31-07-2023,22:09:17,"Providencia, Región Metropolitana"
Xiaomi Smartband 7,120000,31-07-2023,21:56:07,"Santiago, Región Metropolitana"
Celular Xiaomi 10t,120000,30-07-2023,21:31:00,"Las Condes, Región Metropolitana"
Celular Xiaomi,130000,30-07-2023,12:14:32,"Puente Alto, Región Metropolitana"
Celular xiomi note 10 s,90000,29-07-2023,12:43:23,"Estación Central, Región Metropolitana"
Cargador Xiaomi Original Turbo Carga de 120 wals,27000,28-07-2023,13:50:48,"Quinta Normal, Región Metropolitana"
Reloj Xiaomi MI watch black,40000,28-07-2023,12:24:23,"Las Condes, Región Metropolitana"
Xiaomi redmi 9 / 4+1RAM / 64GB,70000,27-07-2023,22:55:24,"Santiago, Región Metropolitana"
Se permuta Xiaomi 11T Pro,50000,27-07-2023,16:14:57,"Puente Alto, Región Metropolitana"
Xiaomi redmi 9A,100000,27-07-2023,15:32:52,"Renca, Región Metropolitana"
Xiaomi Redmi A2,6900,27-07-2023,12:13:59,"Santiago, Región Metropolitana"
Funda Silicona Para Xiaomi Redmi Mi Note 10pro,6900,27-07-2023,09:24:53,"Ñuñoa, Región Metropolitana"
Funda Silicona Para Xiaomi Redmi Mi Note 10,6900,27-07-2023,09:01:48,"Ñuñoa, Región Metropolitana"
Funda De Silicona Compatible Xiaomi Redmi Note 9,6900,27-07-2023,08:59:47,"Ñuñoa, Región Metropolitana"
Funda Silicona Para Xiaomi Redmi Mi Note 10pro,4990,27-07-2023,08:52:30,"Ñuñoa, Región Metropolitana"
Correa De Silicona Bicolor Para Xiaomi Mi Band 5 Y,250000,27-07-2023,08:40:24,"Ñuñoa, Región Metropolitana"
Celular Xiaomi 11t perfectas condiciones,90000,27-07-2023,06:56:10,"Santiago, Región Metropolitana"
Teléfono Celular Xiaomi Red Note 10S,70000,26-07-2023,22:50:30,"Renca, Región Metropolitana"
Xiaomi redmi 10,130000,26-07-2023,17:54:57,"Peñalolén, Región Metropolitana"
Xiaomi 12c 128g,170000,26-07-2023,16:47:17,"Peñalolén, Región Metropolitana"
Xiaomi mi 10 t pro gama alta o permuto ,85000,26-07-2023,08:20:46,"Santiago, Región Metropolitana"
Xiaomi redmi 12c. Nuevo sellado,90000,26-07-2023,08:05:03,"La Florida, Región Metropolitana"
Celular Xiaomi 12c,180000,25-07-2023,12:36:34,"Santiago, Región Metropolitana"
Xiaomi Mi 11 Lite 5g Dual Sim 128 Gb Negro Trufa 8,14900,25-07-2023,02:07:09,"San Bernardo, Región Metropolitana"
Bateria BN4A Xiaomi Redmi Note 7 Pro,3990,24-07-2023,21:48:02,"Santiago, Región Metropolitana"
Protector De Pantalla 20d Para Xiaomi Mi Watch S1,8500,24-07-2023,18:26:46,"Ñuñoa, Región Metropolitana"
Correa De Silicona Para Xiaomi Mi Watch S1 &amp; Otros,7590,24-07-2023,15:54:38,"Ñuñoa, Región Metropolitana"
Funda Para Xiaomi Mi Watch S1 Active,30000,24-07-2023,15:14:21,"Ñuñoa, Región Metropolitana"
Xiaomi Redmi Note 8,110000,24-07-2023,14:19:08,"Santiago, Región Metropolitana"
Celular Xiaomi Redmi Note 10s,110000,23-07-2023,23:11:22,"El Bosque, Región Metropolitana"
Xiaomi note 10 5g,150000,23-07-2023,21:35:33,"Huechuraba, Región Metropolitana"
"Xiaomi Mi 10 Lite 5g, 8/256, como nuevo (9/10)",180,23-07-2023,21:29:31,"Pudahuel, Región Metropolitana"
 celular Xiaomi mi note 10,230000,23-07-2023,18:04:05,"Quilicura, Región Metropolitana"
Celular xiaomi 11t,150000,22-07-2023,20:38:58,"Santiago, Región Metropolitana"
Xiaomi Poco C40 Coral Green 64GB ROM,190,22-07-2023,16:21:01,Todo Chile
Celular Xiomi redmi note 11s,90000,22-07-2023,14:55:22,"La Florida, Región Metropolitana"
Xiaomi redmi note 10s,160000,22-07-2023,12:50:47,"Lo Prado, Región Metropolitana"
Celular Xiomi redmi 10c,105000,22-07-2023,09:55:50,"La Florida, Región Metropolitana"
Xiaomi redmi watch 3 mas auriculares nuevo,65000,21-07-2023,14:48:41,"Estación Central, Región Metropolitana"
Xiaomi Redmi Note 9,50000,20-07-2023,21:46:20,"Providencia, Región Metropolitana"
Celular Xiaomi Redmi 9 64 gb,300000,20-07-2023,15:28:07,"Santiago, Región Metropolitana"
Xiaomi POCO X4 GT 5G 128GB + 8GB RAM AZUL,590000,20-07-2023,13:26:05,"Santiago, Región Metropolitana"
Xiaomi 12 pro 5g seminuevo,447000,19-07-2023,23:56:22,"Lampa, Región Metropolitana"
Xiomi 12 Pro,90000,19-07-2023,21:08:02,Todo Chile
Xiaomi redmi note 11,85000,19-07-2023,09:53:40,"Quinta Normal, Región Metropolitana"
Permuto Xiaomi 12 + Smartwatch S1ACTIVE por iPhone,110000,18-07-2023,22:14:13,"Santiago, Región Metropolitana"
Xiaomi Redmi Note 11,100000,18-07-2023,19:11:34,"Santiago, Región Metropolitana"
Xiaomi mi 10 t,60000,18-07-2023,15:10:59,"Puente Alto, Región Metropolitana"
Xiaomi redmi note 11 única dueña,15000,18-07-2023,14:24:06,"Peñalolén, Región Metropolitana"
Xiaomi Redmi 9,45000,18-07-2023,08:54:37,"Santiago, Región Metropolitana"
XIAOMI POCO X3 Pro,175000,17-07-2023,23:52:26,"La Florida, Región Metropolitana"
Xiaomi Redmi 10 5G 128GB Verde,150000,17-07-2023,21:09:15,"Santiago, Región Metropolitana"
Xiaomi 11 Lite 5g,150000,17-07-2023,17:36:17,"Puente Alto, Región Metropolitana"
Smartwatch Xioami,50000,17-07-2023,16:53:58,"Santiago, Región Metropolitana"
Xiaomi Poco X3 NFC,100000,17-07-2023,16:11:58,"Vitacura, Región Metropolitana"
Bateria bm39 para xiaomi 6 mi 6 mi6,12900,17-07-2023,14:19:56,"Santiago, Región Metropolitana"
Celular Xiaomi Redmi note 10s excelente estado,90000,17-07-2023,13:49:50,"Santiago, Región Metropolitana"
Xiaomi redmi note 11s,100000,17-07-2023,11:43:21,"Puente Alto, Región Metropolitana"
Xiaomi poco M5,85000,17-07-2023,09:40:31,"Puente Alto, Región Metropolitana"
Cargador xiaomi 2000 amperes con funda silicona,19900,16-07-2023,01:22:47,"Conchalí, Región Metropolitana"
Xiaomi poco x3 nfc,100000,15-07-2023,17:42:52,"Ñuñoa, Región Metropolitana"
Xiaomi Mi 10T pro 5G excelente estado,299000,15-07-2023,09:49:57,"Buin, Región Metropolitana"
Redmi xiomi 12c,140000,14-07-2023,19:22:12,"Santiago, Región Metropolitana"
Xiaomi redmi note pro 11 5g,80000,14-07-2023,13:09:50,"San Bernardo, Región Metropolitana"
Xiaomi redmi 12c,130000,14-07-2023,09:10:50,"Maipú, Región Metropolitana"
Celular Xiaomi 11t nuevo,70000,13-07-2023,19:40:24,"La Cisterna, Región Metropolitana"
Xaomi redmi 12c,95000,13-07-2023,13:05:16,"Estación Central, Región Metropolitana"
Audífonos Xiaomi Buds T3 Pro,100000,13-07-2023,10:55:14,"Providencia, Región Metropolitana"
Celular Xiaomi Redmi C12,550000,12-07-2023,21:49:34,"San Bernardo, Región Metropolitana"
Xiaomi 12 5G por renovación,230000,12-07-2023,12:24:45,"Independencia, Región Metropolitana"
Xiaomi Redmi 10 5G ,180000,11-07-2023,17:18:37,"El Bosque, Región Metropolitana"
Celular Xiaomi 11 Lite 5G como nuevo c/ accesorios,100000,10-07-2023,23:23:19,"San Miguel, Región Metropolitana"
Xiaomi redmi note 10 128gb 5g,110000,10-07-2023,18:12:53,Todo Chile
Celular Xiaomi Mi 11 Lite,9990,10-07-2023,13:28:33,"Puente Alto, Región Metropolitana"
Audífonos Bluetooth🎵 Xiaomi Redm,200000,10-07-2023,11:28:39,"Santiago, Región Metropolitana"
Xiaomi 11T 256GB Ram de 8Gb,125900,09-07-2023,14:23:13,"Colina, Región Metropolitana"
Xiaomi Redmi Note 10 5g Dual Sim 128 Gb Azul Noctu,190000,09-07-2023,10:27:30,"Santiago, Región Metropolitana"
Xiaomi Poco X4 Pro 5G,100000,08-07-2023,21:32:02,"Providencia, Región Metropolitana"
Xiaomi Redmi 10 note 5G,170000,08-07-2023,19:14:38,"Puente Alto, Región Metropolitana"
Xiaomi 11 Lite 5G ne y smart band 6,130,08-07-2023,14:03:03,"Huechuraba, Región Metropolitana"
 Xiaomi mi 11 life ,365000,06-07-2023,20:32:02,"Estación Central, Región Metropolitana"
Xiaomi 11T Pro,57990,06-07-2023,20:16:12,"Santiago, Región Metropolitana"
Smartwatch Redmi Watch Lite 2 Black Xiaomi,120000,06-07-2023,17:55:56,"Maipú, Región Metropolitana"
Xiaomi Redmi 10 Nuevo en Caja,50000,05-07-2023,22:55:49,"Peñalolén, Región Metropolitana"
